PMID,Date,Journal,ImpactFactor,Title,中文详细总结,测序与实验技术,生信分析工具,创新点与启示
41668536,2026 Feb,Acta Biochimica Et Biophysica Sinica,0.0,Altered gut microbial dynamics and the antivascular remodeling effect of carnosine in hypobaric hypoxic pulmonary hypertension rats.,该研究深入探讨了慢性低压低氧性肺动脉高压（PH）中肠道菌群与宿主代谢的动态变化及其对肺血管重塑的影响。研究发现，在低压低氧环境下，肠道菌群及其代谢产物发生显著改变，特别是粪便中肌肽（carnosine）水平及其主要生产者<i>Ruminococcus bromii</i>的丰度显著下降。肌肽水平与肺小动脉中膜厚度呈负相关。机制研究表明，补充肌肽能恢复全身和肺部的抗氧化防御，并减轻血管重塑。体外实验进一步证实，肌肽能抑制缺氧诱导的肺动脉平滑肌细胞增殖和迁移，并抑制Nrf2的积累。这些发现揭示了低压低氧性PH中肠-肺轴的动态对话，并提出肌肽作为一种基于代谢物的干预策略，以缓解缺氧驱动的肺血管重塑。,"16S rDNA测序, 宏基因组测序, 非靶向代谢组学测序",未提及,该研究的创新点在于首次揭示了低压低氧性肺动脉高压（PH）中肠道菌群-代谢轴的动态变化及其在肺血管重塑中的关键作用。通过多组学（16S rDNA、宏基因组、非靶向代谢组学）的纵向分析，明确了肌肽及其生产者<i>Ruminococcus bromii</i>在PH发展过程中的下降趋势，并首次将肌肽鉴定为一种具有抗血管重塑潜力的代谢物干预靶点。研究不仅在整体动物水平验证了肌肽的治疗效果，还通过细胞实验深入阐明了其抑制肺动脉平滑肌细胞增殖迁移及Nrf2积累的分子机制，为PH的治疗提供了新的思路和潜在的生物标志物。
41534755,2026 Apr,Journal Of Ethnopharmacology,0.0,"Efficacy and multi-omics regulatory effects of Guilou Tongluo formula in patients with chronic obstructive pulmonary disease combined with pulmonary hypertension: A prospective, multicenter, randomized controlled trial.",该研究是一项前瞻性、多中心、随机对照试验，旨在评估桂蒌通络方（GLTLF）治疗慢性阻塞性肺疾病合并肺动脉高压（COPD-PH）的疗效和潜在作用机制。研究发现，GLTLF能显著改善COPD-PH患者的临床症状和生理指标，包括降低肺动脉收缩压（PASP），改善肺功能（FEV1、FEV1/FVC），提升动脉血氧分压（PaO2），并改善6分钟步行距离等，其疗效优于单纯常规治疗。在机制探索方面，研究采用了多组学方法，特别是肠道宏基因组和代谢组学分析。结果显示，GLTLF干预后，COPD-PH患者的肠道菌群结构和功能发生了显著改变，提示GLTLF可能通过调节肠道微生态来发挥治疗作用。此外，代谢组学分析识别出87种差异代谢物，这些代谢物显著富集于18条代谢通路中，表明GLTLF还能调控患者的代谢状态。虽然摘要未直接详细阐述肠道菌群如何直接导致或缓解肺动脉高压的具体分子机制，但它明确揭示了GLTLF通过重塑肠道菌群组成和功能，并影响宿主代谢状态，从而对COPD-PH产生治疗效果。这暗示了肠道-肺轴在COPD-PH发病机制和治疗中的重要潜力，为未来深入研究肠道菌群与肺动脉高压的关联提供了新的视角和证据。,宏基因组测序,未提及,该研究的创新点主要体现在其机制探索的深度和广度上。首先，作为一项针对传统中药方剂桂蒌通络方（GLTLF）治疗慢性阻塞性肺疾病合并肺动脉高压（COPD-PH）的高质量、前瞻性、多中心随机对照临床试验，它为GLTLF的临床应用提供了坚实的循证医学证据，填补了该领域高质量研究的空白。更重要的是，该研究首次创新性地将多组学技术（肠道宏基因组和代谢组学）应用于中药治疗COPD-PH的机制研究。通过揭示GLTLF能够显著改变患者的肠道菌群结构和功能，并调控代谢状态，该研究不仅为理解中医药在复杂疾病中的多靶点、系统性作用机制提供了新的科学视角，而且明确提示了肠道微生态在COPD-PH发病机制中的潜在关键作用，以及中药通过调节肠道-肺轴发挥治疗效果的可能性。这为未来深入探索COPD-PH的病理生理学、开发基于肠道菌群和代谢靶点的新型治疗策略奠定了重要基础。
41496335,2026 Jan,Biomedicine & Pharmacotherapy = Biomedecine & Pharmacotherapie,0.0,"Elucidation of mechanisms underlying the therapeutic effects of cordycepin on pulmonary hypertension, with a focus on cell senescence and gut microbiota.",本研究深入阐明了虫草素（cordycepin）治疗肺动脉高压（PH）的多靶点机制。核心发现包括：虫草素通过激活p53信号通路并抑制CDK1表达和TERT磷酸化，从而抑制肺动脉平滑肌细胞（PASMCs）的异常增殖。同时，它能诱导促炎性M1样巨噬细胞衰老，从而减轻炎症反应。更重要的是，研究揭示了虫草素对肠道菌群的显著调节作用，表现为增加有益菌属（如Alistipes和Acetatifactor）并减少促炎菌群（如Ruminococcus），进而调节短链脂肪酸、色氨酸和维生素K2等关键代谢通路。这些机制共同作用，通过靶向血管、免疫和肠-肺轴，为PH治疗提供了新的策略。,患者PASMCs的转录组分析（transcriptome analysis），啮齿动物PH模型中的宏基因组分析（metagenomic analysis），以及RNA测序分析（RNA sequencing analysis）。,未提及,该研究的创新点在于首次系统性地揭示了虫草素治疗肺动脉高压的多重作用机制，特别是其在整合细胞衰老、肠道菌群调节和免疫代谢方面的独特发现。研究不仅通过p53-CDK1/pTERT轴抑制PASMC增殖，还创新性地发现虫草素能诱导促炎巨噬细胞衰老，并显著重塑肠道菌群，增加有益菌、减少促炎菌，进而调节SCFA、色氨酸和维生素K2等关键代谢通路。这种将血管重塑、免疫调节和肠-肺轴联系起来的综合性机制阐明，为肺动脉高压的治疗提供了全新的多靶点干预策略，具有重要的临床转化潜力。
41395473,2025,Frontiers In Microbiology,0.0,Tibetan herbal medicine <i>Oxytropis falcata</i> Bunge ameliorates hypoxic pulmonary hypertension in rats via regulation of intestinal microbiota and metabolites.,本研究深入探讨了藏药镰形棘豆（OFB）治疗缺氧性肺动脉高压（HPH）的机制。研究发现，HPH可导致大鼠肠道菌群失调和内源性代谢物紊乱，特别是嘧啶代谢通路。OFB通过显著改善HPH引起的肺动脉高压症状和肺动脉重塑，同时逆转肠道菌群失调，恢复其多样性和组成，并使紊乱的代谢物（如嘧啶代谢相关物质）恢复正常。相关性分析进一步揭示了特定菌群与代谢物之间的关联。这些结果表明，OFB通过调节肠道菌群失调和恢复代谢稳态，特别是嘧啶代谢，发挥治疗HPH的作用，揭示了肠-肺轴在HPH发病机制中的重要性，为开发靶向菌群的HPH疗法提供了新思路。,16S rRNA测序,未提及,本研究的创新点在于首次揭示了藏药镰形棘豆（OFB）通过调节肠道菌群失调和恢复代谢稳态（特别是嘧啶代谢）来治疗缺氧性肺动脉高压（HPH）的机制。它深入探讨了HPH与肠道菌群-代谢轴之间的关联，明确了特定菌群与代谢物之间的相互作用，为HPH的病理生理学提供了新的视角。此外，该研究提出了OFB作为一种潜在的、靶向肠道菌群的HPH治疗策略，具有重要的临床转化价值和机制探索深度。
41217799,2025,"Voprosy Kurortologii, Fizioterapii, I Lechebnoi Fizicheskoi Kultury",0.0,"[Connective tissue diseases: development predictors, multimorbidity variants, physical treatment methods. (Literature review)].",结缔组织病（CTDs），如系统性红斑狼疮和硬皮病，是复杂的自身免疫性疾病，以免疫失调和纤维化为特征，常伴发多种并发症，其中肺动脉高压是硬皮病患者的常见且严重的并发症。该综述深入分析了CTDs的现代发病机制、遗传和表观遗传预测因子、临床并发症及治疗方法。虽然文中未直接阐述肠道菌群与肺动脉高压的具体机制关联，但明确指出，肠道微生物组的深入研究被认为是未来探索CTDs发病机制、开发靶向药物（如抑制TGF-β和IL-6）以改善诊断和治疗效果的重要且有前景的方向。研究还强调了早期诊断、多学科策略以及个性化治疗的重要性。,未提及,未提及,该综述的创新性主要体现在其对结缔组织病（CTDs）复杂病理机制的全面系统性梳理与未来研究方向的精准指引。它不仅整合了CTDs的关键遗传（如HLA II类、TRAF1-C5多态性）和表观遗传风险因素（如日晒、吸烟、维生素D缺乏），还强调了免疫失调和纤维化在疾病进展中的核心作用。更重要的是，该研究明确将肠道微生物组的深入探索以及靶向抑制TGF-β和IL-6的药物开发列为未来理解CTDs发病机制、实现早期诊断和个性化治疗的“有前景方向”。这种前瞻性视角，特别是对微生物组在CTDs中潜在作用的强调，为后续的机制探索和转化研究提供了重要的理论依据和研究路线图，具有重要的指导意义。
41201193,2025 Nov,Anatolian Journal Of Cardiology,0.0,"Consensus Report on Pulmonary Hypertension, Gut Microbiota, Postural Orthostatic Tachycardia Syndrome….",无摘要,无,无,无
41174753,2025 Oct,Respiratory Research,0.0,Antibiotic-driven and microbiota-targeted therapy for advanced management of pulmonary hypertension.,该研究深入探讨了肠道菌群失衡在肺动脉高压（PH）进展中的作用，并提出了一种以抗生素驱动的菌群靶向治疗新策略。研究发现，抗生素治疗与PH患者平均肺动脉压（mPAP）降低相关，尤其在缺氧相关PH中效果显著。抗生素虽降低了菌群多样性，但却富集了益生菌如乳杆菌。在缺氧诱导的PH大鼠模型中，抗生素能有效减轻右心室收缩压（RVSP），减少肺血管重塑，并维持肠道绒毛完整性。乳杆菌和厌氧棒状杆菌与PH严重程度呈负相关，提示其保护作用。核心机制在于抗生素通过调节菌群失调和减少炎症反应来缓解PH进展。,16S rRNA测序,未提及,本研究在机制探索和治疗策略上具有显著创新。它首次系统性地提出了以抗生素驱动的菌群靶向疗法作为治疗肺动脉高压（特别是缺氧相关PH）的新途径。研究通过整合回顾性临床数据、人体队列的16S rRNA测序以及体内动物模型，多维度地揭示了抗生素如何通过调节肠道菌群（如富集乳杆菌和厌氧棒状杆菌）来减轻肺动脉高压的病理进程，包括改善血流动力学、减少肺血管重塑和炎症反应。这一发现为肺动脉高压的治疗提供了全新的视角和潜在的干预靶点，突破了传统治疗的局限。
41160277,2025 Oct,Bioresources And Bioprocessing,0.0,Comprehensive chemical analysis of polyphenols in the ethyl acetate extract from the roots of Ephedra sinica Stapf and evaluation of its therapeutic effects on SU5416/hypoxia-induced pulmonary arterial hypertension rats.,本研究深入探讨了麻黄根乙酸乙酯提取物（ERE）中A型原花青素（PACs）对SU5416/缺氧诱导的肺动脉高压（PH）大鼠的治疗作用。研究发现，ERE能显著降低肺动脉压、改善右心室肥厚和肺血管重塑，并减轻氧化应激。其核心机制在于ERE能够纠正肠道菌群失调，并改善宿主甘油磷脂代谢紊乱，从而发挥对PH的治疗效果。这是首次报道麻黄中A型PACs通过调控肠道菌群和宿主代谢来治疗PH。,16S rRNA测序,未提及,本研究的创新点在于首次揭示了麻黄中A型原花青素（PACs）作为治疗肺动脉高压（PH）的潜在新药，并深入阐明了其作用机制。通过结合16S rRNA测序和非靶向代谢组学，研究发现A型PACs通过调节肠道菌群失调和改善宿主甘油磷脂代谢紊乱来发挥治疗效果，为PH的治疗提供了新的靶点和策略。这种多组学结合的方法学也增强了机制探索的深度和广度。
41100174,2025 Nov,Journal Of Applied Microbiology,0.0,Transthoracic ultrasound with microbubble therapy modulates gut microbiota and protects against hypoxia-induced pulmonary hypertension in mice.,本研究深入探讨了经胸超声微泡疗法（UTMD）对缺氧诱导的肺动脉高压（HAPH）的保护作用及其与肠道菌群的关联。研究发现，UTMD能够显著调节肠道菌群组成，从而抑制HAPH的发生发展。具体而言，在缺氧条件下，小鼠肠道菌群的厚壁菌门/拟杆菌门比例显著升高，而UTMD治疗则能逆转这一变化，增加拟杆菌门、ε-变形菌门和疣微菌门，同时降低厚壁菌门。值得注意的是，UTMD治疗显著上调了Alloprevotella属细菌，且该菌属丰度与右心室收缩压（RVSP）呈显著负相关。这些结果表明，UTMD通过调节肠道菌群，特别是影响Alloprevotella属细菌，从而发挥对缺氧性肺动脉高压的保护作用，为HAPH的治疗提供了新的策略和靶点。,16S rRNA测序,未提及,本研究的创新点主要体现在机制探索方面。它首次揭示了经胸超声微泡疗法（UTMD）不仅能改善组织灌注，还能通过调节肠道菌群来干预缺氧性肺动脉高压（HAPH）的发生发展。研究明确了UTMD对肠道菌群组成（如厚壁菌门/拟杆菌门比例、特定菌门和Alloprevotella属）的具体影响，并首次发现Alloprevotella属细菌与HAPH的关键指标右心室收缩压呈显著负相关，为HAPH的治疗提供了新的潜在靶点和干预策略。
41010453,2025 Sep,Nutrients,0.0,<i>Lacticaseibacillus rhamnosus</i> Probio-M9 Alters the Gut Microbiota and Mitigates Pulmonary Hypertension in a Rat Model.,提取失败,未知,未知,未知
